organizaca;participante;dataMovimentoC420;dataMovimentoC490;valorTotalNFeC420;valorTotalNFeC490;operacao;emissao;modFrete;satECF;quantidade;valorTotalC420;valorTotalC490;cstICMS;CFOP;sufixoCFOP;aliquotaICMS;baseICMS;valorICMS
42591651055479;CONSUMIDORFINAL3136702;23012018;23012018;1.919,5;1.919,5;Saida;Propria;Sem cobranca de frete;37;1.0;18;18;60;5405;X.405;0.0;0.00;0
42591651055479;CONSUMIDORFINAL3136702;24012018;24012018;1.927;1.927;Saida;Propria;Sem cobranca de frete;37;1.0;1.889,5;1.889,5;0;5102;X.102;8.4;1889.50;158,72
42591651055479;CONSUMIDORFINAL3136702;24012018;;1.927;0;Saida;Propria;Sem cobranca de frete;37;1.0;19,5;0;;;;0.0;0;0
42591651055479;CONSUMIDORFINAL3136702;24012018;24012018;1.927;1.927;Saida;Propria;Sem cobranca de frete;37;1.0;18;18;60;5405;X.405;0.0;0.00;0
42591651055479;CONSUMIDORFINAL3136702;25012018;25012018;1.767,5;1.767,5;Saida;Propria;Sem cobranca de frete;37;1.0;1.752,5;1.752,5;0;5102;X.102;8.4;1752.50;147,21
42591651055479;CONSUMIDORFINAL3136702;25012018;25012018;1.767,5;1.767,5;Saida;Propria;Sem cobranca de frete;37;1.0;15;15;60;5405;X.405;0.0;0.00;0
42591651055479;CONSUMIDORFINAL3136702;26012018;26012018;1.205;1.205;Saida;Propria;Sem cobranca de frete;37;1.0;1.151,5;1.151,5;0;5102;X.102;8.4;1151.50;96,73
42591651055479;CONSUMIDORFINAL3136702;26012018;;1.205;0;Saida;Propria;Sem cobranca de frete;37;1.0;35,5;0;;;;0.0;0;0
42591651055479;CONSUMIDORFINAL3136702;26012018;26012018;1.205;1.205;Saida;Propria;Sem cobranca de frete;37;1.0;18;18;60;5405;X.405;0.0;0.00;0
42591651055479;CONSUMIDORFINAL3136702;27012018;27012018;2.826;2.826;Saida;Propria;Sem cobranca de frete;37;1.0;2.800;2.800;0;5102;X.102;8.4;2800.00;235,2
42591651055479;CONSUMIDORFINAL3136702;27012018;;2.826;0;Saida;Propria;Sem cobranca de frete;37;1.0;14;0;;;;0.0;0;0
42591651055479;CONSUMIDORFINAL3136702;27012018;27012018;2.826;2.826;Saida;Propria;Sem cobranca de frete;37;1.0;12;12;60;5405;X.405;0.0;0.00;0
42591651055479;CONSUMIDORFINAL3136702;28012018;28012018;3.023;3.023;Saida;Propria;Sem cobranca de frete;37;1.0;2.913;2.913;0;5102;X.102;8.4;2913.00;244,69
42591651055479;CONSUMIDORFINAL3136702;28012018;;3.023;0;Saida;Propria;Sem cobranca de frete;37;1.0;86;0;;;;0.0;0;0
