IdOrganizacao;IdParticipante;IdCfop;IdModelo;IdSituacao;DataDoMovimento;TotalDoDocumentoFiscal;Operacao;Emissao;CstICMS;AliquotaIcms;TipoDoFrete;SufixoDoCFOP;NumeroSatEcf;QuantidadeDeDocumentos;TotalDoItem;ValorDesconto;ValorIcms;ValorIpi;ValorPis;ValorCofins;ValorIcmsSt;ValorPisSt;ValorCofinsSt;BaseDeCalculoIcms;BaseDeCalculoIcmsSt;ValorDaReducaoDaBaseDeCalculo;ValorFrete;ValorSeguro;ValorOutrasDespesasAcessorias
Saida;CONSUMIDORFINAL3136702;5405;;;23012018;1.919,5;Saida;Propria;60;0;Sem cobranca de frete;X.405;37;1;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;5102;;;24012018;1.927;Saida;Propria;0;8,4;Sem cobranca de frete;X.102;37;1;1.889,5;0;158,72;0;0;0;0;0;0;1.889,5;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;;;;24012018;1.927;Saida;Propria;;0;Sem cobranca de frete;;37;1;19,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;5405;;;24012018;1.927;Saida;Propria;60;0;Sem cobranca de frete;X.405;37;1;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;5102;;;25012018;1.767,5;Saida;Propria;0;8,4;Sem cobranca de frete;X.102;37;1;1.752,5;0;147,21;0;0;0;0;0;0;1.752,5;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;5405;;;25012018;1.767,5;Saida;Propria;60;0;Sem cobranca de frete;X.405;37;1;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;5102;;;26012018;1.205;Saida;Propria;0;8,4;Sem cobranca de frete;X.102;37;1;1.151,5;0;96,73;0;0;0;0;0;0;1.151,5;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;;;;26012018;1.205;Saida;Propria;;0;Sem cobranca de frete;;37;1;35,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;5405;;;26012018;1.205;Saida;Propria;60;0;Sem cobranca de frete;X.405;37;1;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;5102;;;27012018;2.826;Saida;Propria;0;8,4;Sem cobranca de frete;X.102;37;1;2.800;0;235,2;0;0;0;0;0;0;2.800;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;;;;27012018;2.826;Saida;Propria;;0;Sem cobranca de frete;;37;1;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;5405;;;27012018;2.826;Saida;Propria;60;0;Sem cobranca de frete;X.405;37;1;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;5102;;;28012018;3.023;Saida;Propria;0;8,4;Sem cobranca de frete;X.102;37;1;2.913;0;244,69;0;0;0;0;0;0;2.913;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;;;;28012018;3.023;Saida;Propria;;0;Sem cobranca de frete;;37;1;86;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;5405;;;28012018;3.023;Saida;Propria;60;0;Sem cobranca de frete;X.405;37;1;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;5102;;;29012018;842;Saida;Propria;0;8,4;Sem cobranca de frete;X.102;37;1;821;0;68,96;0;0;0;0;0;0;821;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;;;;29012018;842;Saida;Propria;;0;Sem cobranca de frete;;37;1;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;5405;;;29012018;842;Saida;Propria;60;0;Sem cobranca de frete;X.405;37;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;5102;;;30012018;648,5;Saida;Propria;0;8,4;Sem cobranca de frete;X.102;37;1;625,5;0;52,54;0;0;0;0;0;0;625,5;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;;;;30012018;648,5;Saida;Propria;;0;Sem cobranca de frete;;37;1;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;5405;;;30012018;648,5;Saida;Propria;60;0;Sem cobranca de frete;X.405;37;1;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;5102;;;31012018;1.076;Saida;Propria;0;8,4;Sem cobranca de frete;X.102;37;1;1.046;0;87,86;0;0;0;0;0;0;1.046;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;;;;31012018;1.076;Saida;Propria;;0;Sem cobranca de frete;;37;1;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;5405;;;31012018;1.076;Saida;Propria;60;0;Sem cobranca de frete;X.405;37;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;5102;;;1012018;9.122,1;Saida;Propria;0;8,4;Sem cobranca de frete;X.102;36;1;5.141;0;431,84;0;0;0;0;0;0;5.141;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;;;;1012018;9.122,1;Saida;Propria;;0;Sem cobranca de frete;;36;1;538,8;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;5405;;;1012018;9.122,1;Saida;Propria;60;0;Sem cobranca de frete;X.405;36;1;3.442,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;5102;;;2012018;7.374,6;Saida;Propria;0;8,4;Sem cobranca de frete;X.102;36;1;4.050,2;0;340,22;0;0;0;0;0;0;4.050,2;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;;;;2012018;7.374,6;Saida;Propria;;0;Sem cobranca de frete;;36;1;179,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;5405;;;2012018;7.374,6;Saida;Propria;60;0;Sem cobranca de frete;X.405;36;1;3.144,9;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;5102;;;3012018;7.465,1;Saida;Propria;0;8,4;Sem cobranca de frete;X.102;36;1;4.061,4;0;341,16;0;0;0;0;0;0;4.061,4;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;;;;3012018;7.465,1;Saida;Propria;;0;Sem cobranca de frete;;36;1;412,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;5405;;;3012018;7.465,1;Saida;Propria;60;0;Sem cobranca de frete;X.405;36;1;2.991,6;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;5102;;;4012018;7.404;Saida;Propria;0;8,4;Sem cobranca de frete;X.102;36;1;4.542,2;0;381,54;0;0;0;0;0;0;4.542,2;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;;;;4012018;7.404;Saida;Propria;;0;Sem cobranca de frete;;36;1;72,9;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;5405;;;4012018;7.404;Saida;Propria;60;0;Sem cobranca de frete;X.405;36;1;2.788,9;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;5102;;;5012018;8.596;Saida;Propria;0;8,4;Sem cobranca de frete;X.102;36;1;5.035,9;0;423,02;0;0;0;0;0;0;5.035,9;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;;;;5012018;8.596;Saida;Propria;;0;Sem cobranca de frete;;36;1;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;5405;;;5012018;8.596;Saida;Propria;60;0;Sem cobranca de frete;X.405;36;1;3.538,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;5102;;;6012018;11.480,2;Saida;Propria;0;8,4;Sem cobranca de frete;X.102;36;1;6.454,3;0;542,16;0;0;0;0;0;0;6.454,3;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;;;;6012018;11.480,2;Saida;Propria;;0;Sem cobranca de frete;;36;1;301,9;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;5405;;;6012018;11.480,2;Saida;Propria;60;0;Sem cobranca de frete;X.405;36;1;4.724;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;5102;;;7012018;14.962,8;Saida;Propria;0;8,4;Sem cobranca de frete;X.102;36;1;8.460,7;0;710,7;0;0;0;0;0;0;8.460,7;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;;;;7012018;14.962,8;Saida;Propria;;0;Sem cobranca de frete;;36;1;398,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;5405;;;7012018;14.962,8;Saida;Propria;60;0;Sem cobranca de frete;X.405;36;1;6.104;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;5102;;;8012018;6.502,4;Saida;Propria;0;8,4;Sem cobranca de frete;X.102;36;1;3.785,2;0;317,96;0;0;0;0;0;0;3.785,2;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;;;;8012018;6.502,4;Saida;Propria;;0;Sem cobranca de frete;;36;1;262,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;5405;;;8012018;6.502,4;Saida;Propria;60;0;Sem cobranca de frete;X.405;36;1;2.454,7;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;5102;;;9012018;6.115,4;Saida;Propria;0;8,4;Sem cobranca de frete;X.102;36;1;3.564,7;0;299,43;0;0;0;0;0;0;3.564,7;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;;;;9012018;6.115,4;Saida;Propria;;0;Sem cobranca de frete;;36;1;221,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;5405;;;9012018;6.115,4;Saida;Propria;60;0;Sem cobranca de frete;X.405;36;1;2.329,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;5102;;;10012018;6.732,1;Saida;Propria;0;8,4;Sem cobranca de frete;X.102;36;1;3.927,8;0;329,94;0;0;0;0;0;0;3.927,8;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;;;;10012018;6.732,1;Saida;Propria;;0;Sem cobranca de frete;;36;1;172,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;5405;;;10012018;6.732,1;Saida;Propria;60;0;Sem cobranca de frete;X.405;36;1;2.632,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;5102;;;11012018;6.855,8;Saida;Propria;0;8,4;Sem cobranca de frete;X.102;36;1;4.141;0;347,84;0;0;0;0;0;0;4.141;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;;;;11012018;6.855,8;Saida;Propria;;0;Sem cobranca de frete;;36;1;72,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;5405;;;11012018;6.855,8;Saida;Propria;60;0;Sem cobranca de frete;X.405;36;1;2.642,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;5102;;;12012018;7.870;Saida;Propria;0;8,4;Sem cobranca de frete;X.102;36;1;4.299,5;0;361,16;0;0;0;0;0;0;4.299,5;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;;;;12012018;7.870;Saida;Propria;;0;Sem cobranca de frete;;36;1;162,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;5405;;;12012018;7.870;Saida;Propria;60;0;Sem cobranca de frete;X.405;36;1;3.408,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;5102;;;13012018;10.571,1;Saida;Propria;0;8,4;Sem cobranca de frete;X.102;36;1;5.857,2;0;492;0;0;0;0;0;0;5.857,2;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;;;;13012018;10.571,1;Saida;Propria;;0;Sem cobranca de frete;;36;1;272;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;5405;;;13012018;10.571,1;Saida;Propria;60;0;Sem cobranca de frete;X.405;36;1;4.441,9;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;5102;;;14012018;13.714,1;Saida;Propria;0;8,4;Sem cobranca de frete;X.102;36;1;7.804;0;655,54;0;0;0;0;0;0;7.804;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;;;;14012018;13.714,1;Saida;Propria;;0;Sem cobranca de frete;;36;1;266,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;5405;;;14012018;13.714,1;Saida;Propria;60;0;Sem cobranca de frete;X.405;36;1;5.643,9;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;5102;;;15012018;7.705,4;Saida;Propria;0;8,4;Sem cobranca de frete;X.102;36;1;4.131,9;0;347,08;0;0;0;0;0;0;4.131,9;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;;;;15012018;7.705,4;Saida;Propria;;0;Sem cobranca de frete;;36;1;248,7;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;5405;;;15012018;7.705,4;Saida;Propria;60;0;Sem cobranca de frete;X.405;36;1;3.324,8;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;5102;;;16012018;7.140,4;Saida;Propria;0;8,4;Sem cobranca de frete;X.102;36;1;4.178,7;0;351,01;0;0;0;0;0;0;4.178,7;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;;;;16012018;7.140,4;Saida;Propria;;0;Sem cobranca de frete;;36;1;115,7;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;5405;;;16012018;7.140,4;Saida;Propria;60;0;Sem cobranca de frete;X.405;36;1;2.846;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;5102;;;17012018;6.837,9;Saida;Propria;0;8,4;Sem cobranca de frete;X.102;36;1;3.940,8;0;331,03;0;0;0;0;0;0;3.940,8;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;;;;17012018;6.837,9;Saida;Propria;;0;Sem cobranca de frete;;36;1;199,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Saida;CONSUMIDORFINAL3136702;5405;;;17012018;6.837,9;Saida;Propria;60;0;Sem cobranca de frete;X.405;36;1;2.697,7;0;0;0;0;0;0;0;0;0;0;0;0;0;0
