IdOrganizacao;DataDoMovimento;TotalDoItem
42591651159924;19012018;21.556,3
42591651159924;22012018;11.847
42591651159924;12012018;21.867,1
42591651159924;5012018;22.141,1
42591651159924;3012018;16.408,8
42591651159924;17012018;18.056,6
42591651159924;27012018;25.622
42591651159924;8012018;16.438,9
42591651159924;1012018;22.611
42591651159924;26012018;18.918
42591651159924;16012018;15.782,7
42591651159924;24012018;15.231,7
42591651159924;14012018;26.184,7
42591651159924;31012018;18.555,7
42591651159924;21012018;29.201,8
42591651159924;11012018;16.799,7
42591651159924;29012018;12.108,3
42591651159924;6012018;26.675,7
42591651159924;13012018;27.240,9
42591651159924;18012018;16.979,7
42591651159924;28012018;25.112,1
42591651159924;9012018;16.845,2
42591651159924;23012018;13.881,7
42591651159924;4012018;16.953,1
42591651159924;10012018;19.611,5
42591651159924;2012018;15.710,6
42591651159924;7012018;30.512,6
42591651159924;30012018;12.860
42591651159924;20012018;26.704,7
42591651159924;15012018;15.953,3
42591651159924;25012018;12.900,1
42591651126082;19012018;32.047,5
42591651126082;22012018;20.578,2
42591651126082;12012018;30.235,6
42591651126082;5012018;26.332,6
42591651126082;3012018;20.796,41
42591651126082;17012018;23.439,35
42591651126082;27012018;32.647,8
42591651126082;8012018;21.359,1
42591651126082;1012018;26.924,04
42591651126082;26012018;30.007,65
42591651126082;16012018;22.979,38
42591651126082;24012018;21.507,2
42591651126082;14012018;35.295,6
42591651126082;31012018;25.463
42591651126082;21012018;32.901,4
42591651126082;11012018;25.973,5
42591651126082;29012018;21.004,1
42591651126082;6012018;29.158,75
42591651126082;13012018;35.135,3
42591651126082;18012018;25.808,6
42591651126082;28012018;42.460,7
42591651126082;9012018;18.341,9
42591651126082;23012018;17.819
42591651126082;4012018;19.736,52
42591651126082;10012018;24.318
42591651126082;2012018;19.637,6
42591651126082;7012018;35.961,15
42591651126082;30012018;19.990,4
42591651126082;20012018;33.512,2
42591651126082;15012018;19.988,6
42591651126082;25012018;24.233,6
42591651137521;19012018;29.384,15
42591651137521;22012018;21.250,85
42591651137521;12012018;27.511,6
42591651137521;5012018;23.719,4
42591651137521;3012018;22.557,73
42591651137521;17012018;25.334,75
42591651137521;27012018;26.595,66
42591651137521;8012018;23.872,2
42591651137521;1012018;19.840
42591651137521;16012018;23.069,15
42591651137521;26012018;27.045,65
42591651137521;24012018;23.953,45
42591651137521;14012018;30.459,6
42591651137521;31012018;26.133,55
42591651137521;21012018;29.421,05
42591651137521;11012018;23.980,9
42591651137521;29012018;20.093,65
42591651137521;6012018;23.713,01
42591651137521;13012018;25.381
42591651137521;18012018;25.583,9
42591651137521;28012018;32.902,2
42591651137521;9012018;23.124,6
42591651137521;23012018;22.603,8
42591651137521;4012018;21.487,3
42591651137521;2012018;21.277,35
42591651137521;10012018;25.699,7
42591651137521;7012018;30.294,9
42591651137521;30012018;20.392,8
42591651137521;15012018;21.603,1
42591651137521;20012018;26.035,4
42591651137521;25012018;26.479,9
42591651055479;19012018;28.826,8
42591651055479;22012018;19.871,9
42591651055479;12012018;28.333,9
42591651055479;5012018;23.844,6
42591651055479;3012018;27.036,8
42591651055479;17012018;27.296,5
42591651055479;27012018;31.565,1
42591651055479;8012018;21.974,7
42591651055479;1012018;30.176,5
42591651055479;16012018;20.302,45
42591651055479;26012018;24.461,2
42591651055479;14012018;36.648,3
42591651055479;24012018;24.415
42591651055479;21012018;36.908,2
42591651055479;11012018;26.149,8
42591651055479;31012018;24.269,8
42591651055479;29012018;14.590,2
42591651055479;6012018;32.715,82
42591651055479;13012018;31.568,1
42591651055479;18012018;25.574,76
42591651055479;28012018;38.226,6
42591651055479;9012018;20.735,42
42591651055479;4012018;20.366,3
42591651055479;23012018;20.210,7
42591651055479;10012018;26.839,01
42591651055479;2012018;22.382,6
42591651055479;7012018;43.475,18
42591651055479;30012018;15.569,86
42591651055479;20012018;33.638,9
42591651055479;15012018;22.138,4
42591651055479;25012018;24.805
42591651104003;19012018;25.230,9
42591651104003;22012018;17.430
42591651104003;12012018;25.492,7
42591651104003;5012018;20.905,42
42591651104003;3012018;17.278,3
42591651104003;17012018;20.149,9
42591651104003;27012018;30.266,15
42591651104003;8012018;20.958,85
42591651104003;1012018;17.073,9
42591651104003;26012018;26.825
42591651104003;16012018;19.018,7
42591651104003;24012018;20.897,6
42591651104003;14012018;27.737,7
42591651104003;31012018;19.382,8
42591651104003;21012018;28.075
42591651104003;11012018;23.899,9
42591651104003;29012018;18.105,3
42591651104003;6012018;23.632,65
42591651104003;13012018;27.461,2
42591651104003;18012018;23.324
42591651104003;28012018;30.176,4
42591651104003;9012018;22.479,35
42591651104003;23012018;18.802,3
42591651104003;4012018;15.415,66
42591651104003;10012018;22.537,55
42591651104003;2012018;17.686,2
42591651104003;7012018;27.850,25
42591651104003;30012018;17.870,8
42591651104003;20012018;29.559,05
42591651104003;15012018;19.233,4
42591651104003;25012018;21.964
